,書名,出版項,ISBN,價格
0,我們的工作之路2：獸醫師/管弦樂團團員/地方創生工作者,未來出版,9786263559363,320
1,梅子老師這一班6：說謊真的好累喔！,小天下,9786263559288, 300 
2,神奇樹屋特別篇5：救出獨角鯨,小天下,9786263559356, 320 
3,尋物高手芝麻菜什麼都找得到！,小天下,9786263559172, 380 
4,垃圾到哪裡去了,小天下,9786263558311, 350 
5,頭條新聞大作戰,未來出版,9786263558922, 380 
6,安心國小9：有話好好說,小天下,9786263559028, 350 
7,安心國小10：大家都不懂我！,小天下,9786263559035, 350 
8,小女巫莉娜：鬼靈精怪魔女實習生（全套3冊）,未來出版,9786263559066, 960 
9,小女巫莉娜 1. 女巫初級班,未來出版,9786263559042, 320 
10,小女巫莉娜 2. 女巫實習生,未來出版,9786263559059, 320 
11,捨不得說再見：我家貓咪的故事,未來出版,9786263558830, 320 
12,10歲開始學心理學(平裝版),未來出版,9786263556126, 450 
13,10歲開始學哲學(平裝版),未來出版,9786263556119, 450 
14,10歲開始學經濟(平裝版),未來出版,9786263555648, 450 
15,10歲開始學政治(平裝版),未來出版,9786263556195, 450 
16,金融素養小學堂：10歲開始學企管+理財（平裝版，全套2冊）,未來出版,4711488870516, 900 
17,10歲開始學理財(平裝版),未來出版,9786263555631, 450 
18,10歲開始學企管(平裝版),未來出版,9786263555624, 450 
19,從陸地到海洋  鯨的演化,小天下,9786263558847, 380 
20,荒野機器人（夢工廠動畫電影書衣版）,小天下,4711488870462, 320 
21,哪裡不舒服呢？,小天下,9786263558823, 360 
22,小小科學人：100科學大發現（新版） ,小天下,9786263558939, 580 
23,我們的友誼那麼多！記錄友情的12種圖表,小天下,9786263558663, 380 
24,上學快來不及了！（日本繪本獎、德國白烏鴉獎雙料大獎）,小天下,9786263558427, 380 
25,魔女咖啡廳營業中,小天下,9786263558540, 320 
26,歡迎光臨！恐龍遊樂園,小天下,9786263558496, 380 
27,星期三的麵包店,小天下,9786263558205, 380 
28,密室逃脫生存戰,未來出版,9786263558465, 380 
29,黃泉守護者,未來出版,9786263558410, 450 
30,科學起步走：孩子的第一套生活科學X數學邏輯X探索世界圖解書（全套4冊）,未來出版,4711488870455," 1,920 "
31,科學起步走：數學原來很簡單,未來出版,9786263558168, 480 
32,好熱好熱的樟樹公寓,小天下,9786263557871, 350 
33,老鼠郵差：瑪麗安．杜布的觀察力養成繪本套書（全套3冊）(新版),小天下,4711488870387," 1,050 "
34,老鼠郵差來了(新版),小天下,9786263557925, 350 
35,老鼠郵差去度假(新版),小天下,9786263557901, 350 
36,老鼠郵差去哪裡？(新版),小天下,9786263557918, 350 
37,吃書的狐狸先生【「狐狸偵探傑克」作者經典力作，全球狂銷破百萬冊】,未來出版,4711488870448, 799 
38,吃書的狐狸先生1：書店大盜,未來出版,9786263558267, 199 
39,吃書的狐狸先生2：北極特別任務,未來出版,9786263558274, 300 
40,吃書的狐狸先生3：歡迎光臨海盜窩,未來出版,9786263558281, 300 
41,少年讀聊齋志異：蒲松齡的社會觀察筆記，文言文短篇入門首選(全套3冊),未來出版,4711488870431," 1,140 "
42,少年讀聊齋志異1：神奇的狐狸,未來出版,9786263557819, 380 
43,少年讀聊齋志異2：筆墨的精靈,未來出版,9786263557826, 380 
44,少年讀聊齋志異3：走進大千世界,未來出版,9786263557833, 380 
